Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Check order,Chrome 112.0.5615.49,,,2023-04-12 10:07:20,2023-04-12 10:08:05,44.486s,PASSED
,,,,,,,
Test Cases/Order Process/Check order 02,Chrome 112.0.5615.49,,,2023-04-12 10:07:20,2023-04-12 10:08:05,44.053s,PASSED
"callTestCase(findTestCase(""Account/Login successfully""), [:], STOP_ON_FAILURE)",Chrome 112.0.5615.49,,,2023-04-12 10:07:21,2023-04-12 10:07:34,13.547s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/Page_Cart  Katalon Shop/a_Cart""))",Chrome 112.0.5615.49,,,2023-04-12 10:07:34,2023-04-12 10:07:38,3.751s,PASSED
SamplePageTitle = getWindowTitle(),Chrome 112.0.5615.49,,,2023-04-12 10:07:38,2023-04-12 10:07:38,0.040s,PASSED
"verifyMatch(SamplePageTitle, ""Cart – Katalon Shop"", false)",Chrome 112.0.5615.49,,,2023-04-12 10:07:38,2023-04-12 10:07:38,0.028s,PASSED
"waitForElementPresent(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/img__attachment-woocommerce_thumbnail size-woocommerce_thumbnail""), 5)",Chrome 112.0.5615.49,,,2023-04-12 10:07:38,2023-04-12 10:07:38,0.126s,PASSED
"verifyTextPresent(""Ship Your Idea"", false)",Chrome 112.0.5615.49,,,2023-04-12 10:07:38,2023-04-12 10:07:39,0.457s,PASSED
"verifyEqual(""2"", ""2"")",Chrome 112.0.5615.49,,,2023-04-12 10:07:39,2023-04-12 10:07:39,0.017s,PASSED
"scrollToElement(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/Page_Cart  Katalon Shop/button_Update cart""), 0)",Chrome 112.0.5615.49,,,2023-04-12 10:07:39,2023-04-12 10:07:39,0.445s,PASSED
"callTestCase(findTestCase(""Order Process/03 Change address""), [:], STOP_ON_FAILURE)",Chrome 112.0.5615.49,,,2023-04-12 10:07:39,2023-04-12 10:08:04,25.064s,PASSED
closeBrowser(),Chrome 112.0.5615.49,,,2023-04-12 10:08:04,2023-04-12 10:08:05,0.103s,PASSED
