Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:27:18,2023-06-02 09:27:24,5.798s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:27:19,2023-06-02 09:27:23,4.294s,FAILED
"openBrowser("""")",,,,2023-06-02 09:27:19,2023-06-02 09:27:23,3.463s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:27:23,2023-06-02 09:27:24,0.747s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:27:23,2023-06-02 09:27:24,0.455s,FAILED
