Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:23:55,2023-06-02 09:23:59,3.857s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:23:56,2023-06-02 09:23:58,2.667s,FAILED
"openBrowser("""")",,,,2023-06-02 09:23:56,2023-06-02 09:23:58,2.041s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:23:58,2023-06-02 09:23:59,0.710s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:23:59,2023-06-02 09:23:59,0.398s,FAILED
