Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Remove,Chrome 112.0.5615.49,,,2023-04-08 16:24:22,2023-04-08 16:24:36,14.114s,ERROR
,,,,,,,
Test Cases/Order Process/Checkout 03,Chrome 112.0.5615.49,,,2023-04-08 16:24:22,2023-04-08 16:24:30,7.966s,ERROR
Start listener action : enableSauceLabs,Chrome 112.0.5615.49,,,2023-04-08 16:24:22,2023-04-08 16:24:22,0.024s,PASSED
"callTestCase(findTestCase(""Order Process/Check order 02""), [:], STOP_ON_FAILURE)",Chrome 112.0.5615.49,,,2023-04-08 16:24:23,2023-04-08 16:24:30,7.473s,ERROR
Start listener action : autoUpdateJobStatus,Chrome 112.0.5615.49,,,2023-04-08 16:24:30,2023-04-08 16:24:30,0.001s,PASSED
,,,,,,,
Test Cases/Order Process/remove items 04,Chrome 112.0.5615.49,,,2023-04-08 16:24:30,2023-04-08 16:24:36,5.705s,ERROR
Start listener action : enableSauceLabs,Chrome 112.0.5615.49,,,2023-04-08 16:24:30,2023-04-08 16:24:30,0.002s,PASSED
"callTestCase(findTestCase(""Account/Login successfully""), [:], STOP_ON_FAILURE)",Chrome 112.0.5615.49,,,2023-04-08 16:24:31,2023-04-08 16:24:36,5.483s,ERROR
Start listener action : autoUpdateJobStatus,Chrome 112.0.5615.49,,,2023-04-08 16:24:36,2023-04-08 16:24:36,0.002s,PASSED
