Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:31:30,2023-06-02 09:31:34,4.458s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:31:30,2023-06-02 09:31:33,3.439s,FAILED
"openBrowser("""")",,,,2023-06-02 09:31:30,2023-06-02 09:31:33,2.957s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:31:33,2023-06-02 09:31:34,0.631s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:31:34,2023-06-02 09:31:34,0.393s,FAILED
