Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:26:13,2023-06-02 09:26:20,6.871s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:26:14,2023-06-02 09:26:19,5.102s,FAILED
"openBrowser("""")",,,,2023-06-02 09:26:15,2023-06-02 09:26:19,3.905s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:26:19,2023-06-02 09:26:20,0.876s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:26:20,2023-06-02 09:26:20,0.476s,FAILED
