Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:29:00,2023-06-02 09:29:05,5.446s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:29:00,2023-06-02 09:29:04,4.246s,FAILED
"openBrowser("""")",,,,2023-06-02 09:29:01,2023-06-02 09:29:04,3.721s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:29:04,2023-06-02 09:29:05,0.789s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:29:05,2023-06-02 09:29:05,0.503s,FAILED
