Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:28:26,2023-06-02 09:28:34,7.985s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:28:26,2023-06-02 09:28:31,4.442s,FAILED
"openBrowser("""")",,,,2023-06-02 09:28:27,2023-06-02 09:28:31,3.906s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:28:31,2023-06-02 09:28:34,3.039s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:28:31,2023-06-02 09:28:34,2.523s,FAILED
