Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:25:39,2023-06-02 09:25:45,6.051s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:25:39,2023-06-02 09:25:42,2.788s,FAILED
"openBrowser("""")",,,,2023-06-02 09:25:40,2023-06-02 09:25:42,2.238s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:25:42,2023-06-02 09:25:45,2.803s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:25:42,2023-06-02 09:25:45,2.469s,FAILED
