Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:29:44,2023-06-02 09:29:47,3.275s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:29:44,2023-06-02 09:29:46,2.076s,FAILED
"openBrowser("""")",,,,2023-06-02 09:29:45,2023-06-02 09:29:46,1.580s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:29:46,2023-06-02 09:29:47,0.805s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:29:46,2023-06-02 09:29:47,0.518s,FAILED
