Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:28:44,2023-06-02 09:28:55,10.587s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:28:45,2023-06-02 09:28:53,7.904s,FAILED
"openBrowser("""")",,,,2023-06-02 09:28:47,2023-06-02 09:28:53,6.283s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:28:53,2023-06-02 09:28:55,1.487s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:28:54,2023-06-02 09:28:55,0.705s,FAILED
