Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:30:17,2023-06-02 09:30:22,4.784s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:30:17,2023-06-02 09:30:21,3.643s,FAILED
"openBrowser("""")",,,,2023-06-02 09:30:18,2023-06-02 09:30:21,3.107s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:30:21,2023-06-02 09:30:22,0.696s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:30:21,2023-06-02 09:30:22,0.444s,FAILED
