Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Order,Chrome 111.0.5563.146,,,2023-03-29 16:36:09,2023-03-29 16:37:34,1m - 25.027s,FAILED
,,,,,,,
Test Cases/Order Process/Order Item,Chrome 111.0.5563.146,,,2023-03-29 16:36:10,2023-03-29 16:36:51,41.241s,PASSED
"callTestCase(findTestCase(""Account/Login successfully""), [:], STOP_ON_FAILURE)",Chrome 111.0.5563.146,,,2023-03-29 16:36:10,2023-03-29 16:36:25,14.194s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_My account  Katalon Shop/a_Shop""))",Chrome 111.0.5563.146,,,2023-03-29 16:36:25,2023-03-29 16:36:28,3.573s,PASSED
SamplePageTitle = getWindowTitle(),Chrome 111.0.5563.146,,,2023-03-29 16:36:28,2023-03-29 16:36:28,0.043s,PASSED
"verifyMatch(SamplePageTitle, ""Katalon Shop – Katalon Ecommerce"", false)",Chrome 111.0.5563.146,,,2023-03-29 16:36:28,2023-03-29 16:36:28,0.018s,PASSED
delay(5),Chrome 111.0.5563.146,,,2023-03-29 16:36:28,2023-03-29 16:36:33,5.027s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/span_Default sorting""))",Chrome 111.0.5563.146,,,2023-03-29 16:36:33,2023-03-29 16:36:34,0.291s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/sort by latest""))",Chrome 111.0.5563.146,,,2023-03-29 16:36:34,2023-03-29 16:36:37,3.014s,PASSED
delay(5),Chrome 111.0.5563.146,,,2023-03-29 16:36:37,2023-03-29 16:36:42,5.004s,PASSED
"waitForElementPresent(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/img__attachment-woocommerce_thumbnail size-woocommerce_thumbnail""), 3)",Chrome 111.0.5563.146,,,2023-03-29 16:36:42,2023-03-29 16:36:42,0.085s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/img__attachment-woocommerce_thumbnail size-woocommerce_thumbnail""))",Chrome 111.0.5563.146,,,2023-03-29 16:36:42,2023-03-29 16:36:46,4.749s,PASSED
"verifyTextPresent(""Ship Your Idea"", false)",Chrome 111.0.5563.146,,,2023-03-29 16:36:46,2023-03-29 16:36:47,0.955s,PASSED
