Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:28:18,2023-06-02 09:28:23,5.653s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:28:18,2023-06-02 09:28:22,4.260s,FAILED
"openBrowser("""")",,,,2023-06-02 09:28:19,2023-06-02 09:28:22,3.535s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:28:22,2023-06-02 09:28:23,0.855s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:28:23,2023-06-02 09:28:23,0.473s,FAILED
