Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Order,Chrome 112.0.5615.49,,,2023-04-17 09:42:23,2023-04-17 09:44:15,1m - 52.251s,PASSED
,,,,,,,
Test Cases/Order Process/Order Item 01,Chrome 112.0.5615.49,,,2023-04-17 09:42:23,2023-04-17 09:43:04,40.663s,PASSED
Start listener action : enableSauceLabs,Chrome 112.0.5615.49,,,2023-04-17 09:42:23,2023-04-17 09:42:23,0.026s,PASSED
"callTestCase(findTestCase(""Account/Login successfully""), [:], STOP_ON_FAILURE)",Chrome 112.0.5615.49,,,2023-04-17 09:42:23,2023-04-17 09:42:41,17.229s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_My account  Katalon Shop/a_Shop""))",Chrome 112.0.5615.49,,,2023-04-17 09:42:41,2023-04-17 09:42:43,2.500s,PASSED
SamplePageTitle = getWindowTitle(),Chrome 112.0.5615.49,,,2023-04-17 09:42:43,2023-04-17 09:42:43,0.060s,PASSED
"verifyMatch(SamplePageTitle, ""Katalon Shop – Katalon Ecommerce"", false)",Chrome 112.0.5615.49,,,2023-04-17 09:42:43,2023-04-17 09:42:43,0.038s,PASSED
delay(5),Chrome 112.0.5615.49,,,2023-04-17 09:42:43,2023-04-17 09:42:48,5.019s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/span_Default sorting""))",Chrome 112.0.5615.49,,,2023-04-17 09:42:48,2023-04-17 09:42:49,0.377s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/sort by latest""))",Chrome 112.0.5615.49,,,2023-04-17 09:42:49,2023-04-17 09:42:52,2.967s,PASSED
delay(5),Chrome 112.0.5615.49,,,2023-04-17 09:42:52,2023-04-17 09:42:57,5.027s,PASSED
"waitForElementPresent(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/img__attachment-woocommerce_thumbnail size-woocommerce_thumbnail""), 3)",Chrome 112.0.5615.49,,,2023-04-17 09:42:57,2023-04-17 09:42:57,0.131s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/img__attachment-woocommerce_thumbnail size-woocommerce_thumbnail""))",Chrome 112.0.5615.49,,,2023-04-17 09:42:57,2023-04-17 09:43:00,2.900s,PASSED
"verifyTextPresent(""Ship Your Idea"", false)",Chrome 112.0.5615.49,,,2023-04-17 09:43:00,2023-04-17 09:43:01,0.867s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Ship Your Idea  Katalon Shop/btn_Next""))",Chrome 112.0.5615.49,,,2023-04-17 09:43:01,2023-04-17 09:43:02,1.299s,PASSED
