Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,Chrome 111.0.0.0,,,2023-03-26 21:34:25,2023-03-26 21:36:58,2m - 33.039s,PASSED
,,,,,,,
Test Cases/Account/Login successfully,Chrome 111.0.0.0,,,2023-03-26 21:34:25,2023-03-26 21:35:04,38.485s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-26 21:34:26,2023-03-26 21:34:36,10.227s,PASSED
"navigateToUrl(""https://cms.demo.katalon.com/my-account/"")",Chrome 111.0.0.0,,,2023-03-26 21:34:36,2023-03-26 21:34:44,7.763s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__username""))",Chrome 111.0.0.0,,,2023-03-26 21:34:44,2023-03-26 21:34:45,0.897s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__username""), username)",Chrome 111.0.0.0,,,2023-03-26 21:34:45,2023-03-26 21:34:49,4.331s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__password""))",Chrome 111.0.0.0,,,2023-03-26 21:34:49,2023-03-26 21:34:51,2.315s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__password""), password)",Chrome 111.0.0.0,,,2023-03-26 21:34:51,2023-03-26 21:34:55,3.538s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__rememberme""))",Chrome 111.0.0.0,,,2023-03-26 21:34:55,2023-03-26 21:34:57,2.027s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/button_Log in""))",Chrome 111.0.0.0,,,2023-03-26 21:34:57,2023-03-26 21:35:02,4.925s,PASSED
"getText(findTestObject(""Object Repository/Page_My account  Katalon Shop/Page_My account  Katalon Shop/strong_KatalonLover""), STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-26 21:35:02,2023-03-26 21:35:04,1.959s,PASSED
"responseString = ""KatalonLover""",Chrome 111.0.0.0,,,2023-03-26 21:35:04,2023-03-26 21:35:04,0.001s,PASSED
"expectedString = ""katalonlover""",Chrome 111.0.0.0,,,2023-03-26 21:35:04,2023-03-26 21:35:04,0.000s,PASSED
if (responseString.toLowerCase() == expectedString),Chrome 111.0.0.0,,,2023-03-26 21:35:04,2023-03-26 21:35:04,0.014s,PASSED
,,,,,,,
Test Cases/Account/Login fails,Chrome 111.0.0.0,,,2023-03-26 21:35:04,2023-03-26 21:35:34,30.243s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-26 21:35:04,2023-03-26 21:35:09,4.723s,PASSED
"navigateToUrl(""https://cms.demo.katalon.com/my-account/"")",Chrome 111.0.0.0,,,2023-03-26 21:35:09,2023-03-26 21:35:16,7.482s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__username""))",Chrome 111.0.0.0,,,2023-03-26 21:35:16,2023-03-26 21:35:17,0.801s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__username""), username)",Chrome 111.0.0.0,,,2023-03-26 21:35:17,2023-03-26 21:35:18,1.267s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__password""))",Chrome 111.0.0.0,,,2023-03-26 21:35:18,2023-03-26 21:35:19,0.726s,PASSED
"setText(findTestObject(""Page_My account  Katalon Shop/input__password""), password)",Chrome 111.0.0.0,,,2023-03-26 21:35:19,2023-03-26 21:35:23,4.290s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/input__rememberme""))",Chrome 111.0.0.0,,,2023-03-26 21:35:23,2023-03-26 21:35:25,1.368s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/button_Log in""))",Chrome 111.0.0.0,,,2023-03-26 21:35:25,2023-03-26 21:35:31,6.575s,PASSED
