Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:29:13,2023-06-02 09:29:17,3.885s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:29:14,2023-06-02 09:29:16,2.252s,FAILED
"openBrowser("""")",,,,2023-06-02 09:29:14,2023-06-02 09:29:16,1.709s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:29:16,2023-06-02 09:29:17,1.057s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:29:17,2023-06-02 09:29:17,0.673s,FAILED
