Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:25:54,2023-06-02 09:26:01,6.841s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:25:55,2023-06-02 09:25:59,4.128s,FAILED
"openBrowser("""")",,,,2023-06-02 09:25:56,2023-06-02 09:25:59,3.065s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:25:59,2023-06-02 09:26:01,1.770s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:26:00,2023-06-02 09:26:01,0.912s,FAILED
