Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Order,Chrome 112.0.5615.49,,,2023-04-17 09:44:45,2023-04-17 09:46:41,1m - 56.196s,PASSED
,,,,,,,
Test Cases/Order Process/Order Item 01,Chrome 112.0.5615.49,,,2023-04-17 09:44:45,2023-04-17 09:45:28,42.885s,PASSED
Start listener action : enableSauceLabs,Chrome 112.0.5615.49,,,2023-04-17 09:44:45,2023-04-17 09:44:45,0.031s,PASSED
"callTestCase(findTestCase(""Account/Login successfully""), [:], STOP_ON_FAILURE)",Chrome 112.0.5615.49,,,2023-04-17 09:44:46,2023-04-17 09:45:02,16.623s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_My account  Katalon Shop/a_Shop""))",Chrome 112.0.5615.49,,,2023-04-17 09:45:02,2023-04-17 09:45:05,2.904s,PASSED
SamplePageTitle = getWindowTitle(),Chrome 112.0.5615.49,,,2023-04-17 09:45:05,2023-04-17 09:45:05,0.066s,PASSED
"verifyMatch(SamplePageTitle, ""Katalon Shop – Katalon Ecommerce"", false)",Chrome 112.0.5615.49,,,2023-04-17 09:45:05,2023-04-17 09:45:05,0.027s,PASSED
delay(5),Chrome 112.0.5615.49,,,2023-04-17 09:45:05,2023-04-17 09:45:10,5.032s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/span_Default sorting""))",Chrome 112.0.5615.49,,,2023-04-17 09:45:10,2023-04-17 09:45:10,0.322s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/sort by latest""))",Chrome 112.0.5615.49,,,2023-04-17 09:45:10,2023-04-17 09:45:13,2.830s,PASSED
delay(5),Chrome 112.0.5615.49,,,2023-04-17 09:45:13,2023-04-17 09:45:18,5.017s,PASSED
"waitForElementPresent(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/img__attachment-woocommerce_thumbnail size-woocommerce_thumbnail""), 3)",Chrome 112.0.5615.49,,,2023-04-17 09:45:18,2023-04-17 09:45:18,0.127s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/img__attachment-woocommerce_thumbnail size-woocommerce_thumbnail""))",Chrome 112.0.5615.49,,,2023-04-17 09:45:18,2023-04-17 09:45:23,4.859s,PASSED
"verifyTextPresent(""Ship Your Idea"", false)",Chrome 112.0.5615.49,,,2023-04-17 09:45:23,2023-04-17 09:45:24,0.841s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Ship Your Idea  Katalon Shop/btn_Next""))",Chrome 112.0.5615.49,,,2023-04-17 09:45:24,2023-04-17 09:45:26,1.786s,PASSED
"verifyEqual(""2"", ""2"")",Chrome 112.0.5615.49,,,2023-04-17 09:45:26,2023-04-17 09:45:26,0.011s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Ship Your Idea  Katalon Shop/button_Add to cart""))",Chrome 112.0.5615.49,,,2023-04-17 09:45:26,2023-04-17 09:45:28,1.870s,PASSED
closeBrowser(),Chrome 112.0.5615.49,,,2023-04-17 09:45:28,2023-04-17 09:45:28,0.111s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 112.0.5615.49,,,2023-04-17 09:45:28,2023-04-17 09:45:28,0.003s,PASSED
,,,,,,,
Test Cases/Order Process/Check order 02,Chrome 112.0.5615.49,,,2023-04-17 09:45:28,2023-04-17 09:46:41,1m - 12.856s,PASSED
Start listener action : enableSauceLabs,Chrome 112.0.5615.49,,,2023-04-17 09:45:28,2023-04-17 09:45:28,0.002s,PASSED
"callTestCase(findTestCase(""Account/Login successfully""), [:], STOP_ON_FAILURE)",Chrome 112.0.5615.49,,,2023-04-17 09:45:28,2023-04-17 09:45:40,11.767s,PASSED
"click(findTestObject(""Page_My account  Katalon Shop/Page_Katalon Shop  Katalon Ecommerce/Page_Cart  Katalon Shop/a_Cart""))",Chrome 112.0.5615.49,,,2023-04-17 09:45:40,2023-04-17 09:45:45,4.810s,PASSED
