Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-21 02:16:13,2023-06-21 02:16:54,41.253s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-21 02:16:19,2023-06-21 02:16:54,34.959s,FAILED
Start listener action : enableSauceLabs,,,,2023-06-21 02:16:20,2023-06-21 02:16:20,0.233s,PASSED
"openBrowser("""")",,,,2023-06-21 02:16:26,2023-06-21 02:16:54,28.490s,FAILED
Start listener action : autoUpdateJobStatus,,,,2023-06-21 02:16:54,2023-06-21 02:16:54,0.031s,PASSED
