Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:27:35,2023-06-02 09:27:40,5.133s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:27:36,2023-06-02 09:27:40,3.673s,FAILED
"openBrowser("""")",,,,2023-06-02 09:27:37,2023-06-02 09:27:40,2.739s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:27:40,2023-06-02 09:27:40,0.759s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:27:40,2023-06-02 09:27:40,0.430s,FAILED
