Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:24:00,2023-06-02 09:24:04,3.973s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:24:01,2023-06-02 09:24:03,2.268s,FAILED
"openBrowser("""")",,,,2023-06-02 09:24:01,2023-06-02 09:24:03,1.754s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:24:03,2023-06-02 09:24:04,1.276s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:24:03,2023-06-02 09:24:04,0.662s,FAILED
