Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,2023-06-02 09:25:51,2023-06-02 09:26:00,8.055s,FAILED
,,,,,,,
Test Cases/Account/Login fails,,,,2023-06-02 09:25:52,2023-06-02 09:25:58,5.664s,FAILED
"openBrowser("""")",,,,2023-06-02 09:25:53,2023-06-02 09:25:58,4.811s,FAILED
,,,,,,,
Test Cases/Account/Log out,,,,2023-06-02 09:25:58,2023-06-02 09:26:00,1.625s,FAILED
"callTestCase(findTestCase(""Account/Login fails""), [:], STOP_ON_FAILURE)",,,,2023-06-02 09:25:59,2023-06-02 09:25:59,0.896s,FAILED
